averagePg;decade
0.285889;160
0.2262;170
0.17625;180
0.1621;190
0.1999;200
0.124125;210
0.1518;220
0.165667;230
0.1015;240
0.108625;250
0.085667;260
0.1224;270
0.1864;280
0.1157;290
0.1149;300
0.1508;310
0.124667;320
0.133875;330
0.2108;340
0.207286;350
0.146333;360
0.1741;370
0.183;380
0.1285;390
0.1547;400
0.1043;410
0.160889;420
0.1241;430
0.0971;440
0.0969;450
0.1504;460
0.0939;470
0.062571;480
0.0982;490
0.1388;500
0.1194;510
0.1462;520
0.130444;530
0.2045;540
0.1593;550
0.1344;560
0.1215;570
0.1535;580
0.1765;590
0.215875;600
0.1731;610
0.2566;620
0.124889;630
0.154556;640
0.187556;650
0.155625;660
0.097;670
0.252;680
0.1771;690
0.2629;700
0.3002;710
0.2657;720
0.240889;730
0.2959;740
0.3921;750
0.475375;760
